"category","arabic_nominative","arabic_accusative","arabic_genitive","english"
"people","الشَّابُّ","الشَّابَّ","الشَّابِّ","the young man"
"people","الْوَلَدُ","الْوَلَدَ","الْوَلَدِ","the boy"
"people","الِابْنُ","الِابْنَ","الِابْنِ","the son"
"people","الْأَخُ","الْأَخَ","الْأَخِ","the brother"
"people","الْأَبُ","الْأَبَ","الْأَبِ","the father"
"people","الْجَدُّ","الْجَدَّ","الْجَدِّ","the grandfather"
"people","الْعَمُّ","الْعَمَّ","الْعَمِّ","the paternal uncle"
"people","الْخَالُ","الْخَالَ","الْخَالِ","the maternal uncle"
"people","الزَّوْجُ","الزَّوْجَ","الزَّوْجِ","the husband"
"people","الزَّمِيلُ","الزَّمِيلَ","الزَّمِيلِ","the colleague"
"people","الْمَلِكُ","الْمَلِكَ","الْمَلِكِ","the king"
"people","الْأَمِيرُ","الْأَمِيرَ","الْأَمِيرِ","the prince"
"people","الْوَزِيرُ","الْوَزِيرَ","الْوَزِيرِ","the minister"
"people","الرَّئِيسُ","الرَّئِيسَ","الرَّئِيسِ","the president"
"people","الْقَائِدُ","الْقَائِدَ","الْقَائِدِ","the commander"
"people","الضَّابِطُ","الضَّابِطَ","الضَّابِطِ","the officer"
"people","الْخَطِيبُ","الْخَطِيبَ","الْخَطِيبِ","the preacher"
"people","الْمُؤَذِّنُ","الْمُؤَذِّنَ","الْمُؤَذِّنِ","the muezzin"
"people","الصَّائِمُ","الصَّائِمَ","الصَّائِمِ","the fasting man"
"people","الْحَاجُّ","الْحَاجَّ","الْحَاجِّ","the pilgrim"
"people","الْيَتِيمُ","الْيَتِيمَ","الْيَتِيمِ","the orphan"
"people","الْمِسْكِينُ","الْمِسْكِينَ","الْمِسْكِينِ","the needy man"
"people","الْخَادِمُ","الْخَادِمَ","الْخَادِمِ","the servant"
"people","الْمُهَاجِرُ","الْمُهَاجِرَ","الْمُهَاجِرِ","the emigrant"
"people","الشَّاهِدُ","الشَّاهِدَ","الشَّاهِدِ","the witness"
"people","الْأُسْتَاذُ","الْأُسْتَاذَ","الْأُسْتَاذِ","the professor"
"people","الْمُدَرِّسُ","الْمُدَرِّسَ","الْمُدَرِّسِ","the instructor"
"people","الْمُحَاضِرُ","الْمُحَاضِرَ","الْمُحَاضِرِ","the lecturer"
"people","الْعَمِيدُ","الْعَمِيدَ","الْعَمِيدِ","the dean"
"people","الْمُتَعَلِّمُ","الْمُتَعَلِّمَ","الْمُتَعَلِّمِ","the learner"
"people","الْمُبْتَدِئُ","الْمُبْتَدِئَ","الْمُبْتَدِئِ","the beginner"
"people","النَّحْوِيُّ","النَّحْوِيَّ","النَّحْوِيِّ","the grammarian"
"people","اللُّغَوِيُّ","اللُّغَوِيَّ","اللُّغَوِيِّ","the linguist"
"people","الْأَدِيبُ","الْأَدِيبَ","الْأَدِيبِ","the literary man"
"people","الشَّاعِرُ","الشَّاعِرَ","الشَّاعِرِ","the poet"
"people","الْمُؤَرِّخُ","الْمُؤَرِّخَ","الْمُؤَرِّخِ","the historian"
"people","النَّاشِرُ","النَّاشِرَ","النَّاشِرِ","the publisher"
"people","الْوَرَّاقُ","الْوَرَّاقَ","الْوَرَّاقِ","the bookseller"
"people","الْخَطَّاطُ","الْخَطَّاطَ","الْخَطَّاطِ","the calligrapher"
"people","النَّاسِخُ","النَّاسِخَ","النَّاسِخِ","the copyist"
"people","الْمُحَقِّقُ","الْمُحَقِّقَ","الْمُحَقِّقِ","the text editor"
"people","الْمُرَاجِعُ","الْمُرَاجِعَ","الْمُرَاجِعِ","the reviewer"
"people","الْمُفَتِّشُ","الْمُفَتِّشَ","الْمُفَتِّشِ","the inspector"
"people","الْخَبِيرُ","الْخَبِيرَ","الْخَبِيرِ","the expert"
"people","الْمُسْتَشَارُ","الْمُسْتَشَارَ","الْمُسْتَشَارِ","the advisor"
"people","الْمَرِيضُ","الْمَرِيضَ","الْمَرِيضِ","the patient"
"people","الْجَرَّاحُ","الْجَرَّاحَ","الْجَرَّاحِ","the surgeon"
"people","الزَّبُونُ","الزَّبُونَ","الزَّبُونِ","the customer"
"people","الْمَالِكُ","الْمَالِكَ","الْمَالِكِ","the owner"
"people","الْمُسْتَأْجِرُ","الْمُسْتَأْجِرَ","الْمُسْتَأْجِرِ","the tenant"
"people","السَّائِحُ","السَّائِحَ","السَّائِحِ","the tourist"
"people","النَّادِلُ","النَّادِلَ","النَّادِلِ","the waiter"
"people","الْبَنَّاءُ","الْبَنَّاءَ","الْبَنَّاءِ","the builder"
"people","الرَّسَّامُ","الرَّسَّامَ","الرَّسَّامِ","the painter"
"people","اللَّاعِبُ","اللَّاعِبَ","اللَّاعِبِ","the player"
"people","الْمُسَاعِدُ","الْمُسَاعِدَ","الْمُسَاعِدِ","the assistant"
"thing","الْفَقْرَةُ","الْفَقْرَةَ","الْفَقْرَةِ","the paragraph"
"thing","السَّطْرُ","السَّطْرَ","السَّطْرِ","the line"
"thing","الْحَاشِيَةُ","الْحَاشِيَةَ","الْحَاشِيَةِ","the marginal note"
"thing","الْمَتْنُ","الْمَتْنَ","الْمَتْنِ","the main text"
"thing","الْمُخْتَصَرُ","الْمُخْتَصَرَ","الْمُخْتَصَرِ","the abridgment"
"thing","الْمُعْجَمُ","الْمُعْجَمَ","الْمُعْجَمِ","the dictionary"
"thing","الْفِهْرِسُ","الْفِهْرِسَ","الْفِهْرِسِ","the index"
"thing","الْمَرْجِعُ","الْمَرْجِعَ","الْمَرْجِعِ","the reference"
"thing","الْمَصْدَرُ","الْمَصْدَرَ","الْمَصْدَرِ","the source"
"thing","الْبَحْثُ","الْبَحْثَ","الْبَحْثِ","the research paper"
"thing","الْمَقَالُ","الْمَقَالَ","الْمَقَالِ","the article"
"thing","الْمَجَلَّةُ","الْمَجَلَّةَ","الْمَجَلَّةِ","the magazine"
"thing","النُّسْخَةُ","النُّسْخَةَ","النُّسْخَةِ","the copy"
"thing","الطَّبْعَةُ","الطَّبْعَةَ","الطَّبْعَةِ","the edition"
"thing","الْمُجَلَّدُ","الْمُجَلَّدَ","الْمُجَلَّدِ","the volume"
"thing","الْمَخْطُوطُ","الْمَخْطُوطَ","الْمَخْطُوطِ","the manuscript"
"thing","التَّفْسِيرُ","التَّفْسِيرَ","التَّفْسِيرِ","the exegesis"
"thing","الْفِقْهُ","الْفِقْهَ","الْفِقْهِ","the jurisprudence"
"thing","النَّحْوُ","النَّحْوَ","النَّحْوِ","the grammar"
"thing","الصَّرْفُ","الصَّرْفَ","الصَّرْفِ","the morphology"
"thing","الْبَلَاغَةُ","الْبَلَاغَةَ","الْبَلَاغَةِ","the rhetoric"
"thing","الْأَدَبُ","الْأَدَبَ","الْأَدَبِ","the literature"
"thing","التَّارِيخُ","التَّارِيخَ","التَّارِيخِ","the history"
"thing","الْعَقِيدَةُ","الْعَقِيدَةَ","الْعَقِيدَةِ","the creed"
"thing","الْمَذْهَبُ","الْمَذْهَبَ","الْمَذْهَبِ","the school of thought"
"thing","الِاصْطِلَاحُ","الِاصْطِلَاحَ","الِاصْطِلَاحِ","the technical term"
"thing","اللَّفْظُ","اللَّفْظَ","اللَّفْظِ","the wording"
"thing","الْفَائِدَةُ","الْفَائِدَةَ","الْفَائِدَةِ","the benefit"
"thing","الْخُلَاصَةُ","الْخُلَاصَةَ","الْخُلَاصَةِ","the summary"
"thing","النَّتِيجَةُ","النَّتِيجَةَ","النَّتِيجَةِ","the result"
"thing","الِاعْتِرَاضُ","الِاعْتِرَاضَ","الِاعْتِرَاضِ","the objection"
"thing","التَّمْرِينُ","التَّمْرِينَ","التَّمْرِينِ","the exercise"
"thing","الِامْتِحَانُ","الِامْتِحَانَ","الِامْتِحَانِ","the exam"
"thing","الشَّهَادَةُ","الشَّهَادَةَ","الشَّهَادَةِ","the certificate"
"thing","الْجَدْوَلُ","الْجَدْوَلَ","الْجَدْوَلِ","the chart"
"thing","الرَّسْمُ","الرَّسْمَ","الرَّسْمِ","the drawing"
"thing","الرَّمْزُ","الرَّمْزَ","الرَّمْزِ","the symbol"
"thing","الْحِبْرُ","الْحِبْرَ","الْحِبْرِ","the ink"
"thing","الْمِمْحَاةُ","الْمِمْحَاةَ","الْمِمْحَاةِ","the eraser"
"thing","الْمِسْطَرَةُ","الْمِسْطَرَةَ","الْمِسْطَرَةِ","the ruler"
"thing","الْغِلَافُ","الْغِلَافَ","الْغِلَافِ","the cover"
"thing","الرَّفُّ","الرَّفَّ","الرَّفِّ","the shelf"
"thing","الدُّرْجُ","الدُّرْجَ","الدُّرْجِ","the drawer"
"thing","الْمِحْفَظَةُ","الْمِحْفَظَةَ","الْمِحْفَظَةِ","the wallet"
"thing","اللَّوْحُ","اللَّوْحَ","اللَّوْحِ","the board"
"thing","الْمَحْبَرَةُ","الْمَحْبَرَةَ","الْمَحْبَرَةِ","the inkwell"
"thing","الْأَرِيكَةُ","الْأَرِيكَةَ","الْأَرِيكَةِ","the sofa"
"thing","السِّتَارَةُ","السِّتَارَةَ","السِّتَارَةِ","the curtain"
"thing","السَّجَّادَةُ","السَّجَّادَةَ","السَّجَّادَةِ","the carpet"
"thing","الْمِرْوَحَةُ","الْمِرْوَحَةَ","الْمِرْوَحَةِ","the fan"
"thing","الْمِكْوَاةُ","الْمِكْوَاةَ","الْمِكْوَاةِ","the iron"
"thing","الْغَسَّالَةُ","الْغَسَّالَةَ","الْغَسَّالَةِ","the washing machine"
"thing","الْمِكْنَسَةُ","الْمِكْنَسَةَ","الْمِكْنَسَةِ","the broom"
